Organization short name,Organization long name,Country,Partner,Type
CATT,China Academy of Telecommunication Technology - (Datang Telecom Technology and Industry Group),CHINA,CCSA,INDIVIDUAL MEMBERS
CBN,China Broadcasting Network Group Corporation Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
CCU,National Chung Cheng University,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
C-DAC,Centre for Development of Advanced Computing,INDIA,TSDSI,INDIVIDUAL MEMBERS
C-DOT,C-DOT,INDIA,TSDSI,INDIVIDUAL MEMBERS
CEA,Commissariat à l'Energie Atomique et aux Energies Alternatives,FRANCE,ETSI,INDIVIDUAL MEMBERS
Cellnex,Cellnex Telecom,SPAIN,ETSI,INDIVIDUAL MEMBERS
CENC,CETC Network & Communications Group Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
CEPRI,China Electric Power Research Institute,CHINA,CCSA,INDIVIDUAL MEMBERS
Ceragon Networks AS,Ceragon Networks AS,NORWAY,ETSI,INDIVIDUAL MEMBERS
CERTH,CENTRE FOR RESEARCH AND TECHNOLOGY HELLAS,GREECE,ETSI,INDIVIDUAL MEMBERS
cetecom advanced GmbH,cetecom advanced GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
CEWiT,Centre of Excellence in Wireless Technology (CEWiT),INDIA,TSDSI,INDIVIDUAL MEMBERS
CGL,CHAZAH GROUP LTD,UGANDA,ETSI,INDIVIDUAL MEMBERS
Changeself,Changeself Technology(Shenzhen)Co. Ltd.,CHINA,ETSI,INDIVIDUAL MEMBERS
Charter Communications  Inc,Charter Communications  Inc,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Chengdu OPPO Telecommunication,Chengdu OPPO Mobile Telecommunications Corp.  ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
CHENGDU TD TECH LTD.,CHENGDU TD TECH LTD.,CHINA,CCSA,INDIVIDUAL MEMBERS
China Broadnet,China Broadnet Mobile Communications Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
China Mobile (Hangzhou) Inf.,China Mobile (Hangzhou) Information Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
China Mobile (Suzhou) Software,China Mobile (Suzhou) Software Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
China Mobile Com. Corporation,China Mobile Communications Corporation (CMCC),CHINA,CCSA,INDIVIDUAL MEMBERS
China Mobile E-Commerce Co.,China Mobile E-Commerce Co.,CHINA,CCSA,INDIVIDUAL MEMBERS
China Mobile Group Device Co.,China Mobile Group Device Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
China Mobile International Ltd,China Mobile International Limited,CHINA,CCSA,INDIVIDUAL MEMBERS
China Mobile M2M Company Ltd.,China Mobile M2M Company Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
China Southern Power Grid Co.,China Southern Power Grid Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
China Telecom Corporation Ltd.,China Telecom Corporation Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
China Telecommunications,China Telecommunications Corporation,CHINA,ETSI,INDIVIDUAL MEMBERS
China Telecomunication Corp.,China Telecomunication Corporation,CHINA,CCSA,INDIVIDUAL MEMBERS
China Unicom,China Unicom,CHINA,CCSA,INDIVIDUAL MEMBERS
Chinatelecom Cloud,China Telecom Cloud Technology Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Chongqing University,Chongqing University,CHINA,CCSA,INDIVIDUAL MEMBERS
CHTTL,Chunghwa Telecommunication Laboratories  Chunghwa Telecommunication Co.,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
CICT,China Information Communication Technologies Group,CHINA,ETSI,INDIVIDUAL MEMBERS
CICT,China Information Communication Technologies Group Corporation,CHINA,CCSA,INDIVIDUAL MEMBERS
CICT Mobile,CICT Mobile Communication Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
CICTCI,CICT Connected and Intelligent Technologies Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
CIS,Center for Internet Security,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
CISA ECD,Cybersecurity and Infrastructure Security Agency (CISA) ECD,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Cisco Systems,Cisco Systems,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Cisco Systems Belgium,Cisco Systems Belgium,BELGIUM,ETSI,INDIVIDUAL MEMBERS
Cisco Systems France,Cisco Systems France,FRANCE,ETSI,INDIVIDUAL MEMBERS
CITC,CHINA INFORMATION TECHNOLOGY DESIGNING&CONSULTING INSTITUTE CO. LTD.,CHINA,CCSA,INDIVIDUAL MEMBERS
CKH IOD UK LIMITED,CKH IOD UK LIMITED,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
CMDI,China Mobile Group Design Institute Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
CNC,CLAP-N-CLANK,JAPAN,ETSI,INDIVIDUAL MEMBERS
CNES,CNES - Centre National d'Etudes Spatiales,FRANCE,ETSI,INDIVIDUAL MEMBERS
Cobham SatCom A/S,Thrane & Thrane A/S,DENMARK,ETSI,INDIVIDUAL MEMBERS
Cognyte,Cognyte Technologies Israel Ltd.,ISRAEL,ETSI,INDIVIDUAL MEMBERS
Cohere Technologies,Cohere Technologies,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Collins Aerospace,Collins Aerospace,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Comba,Comba Network Systems Company Limited,CHINA,CCSA,INDIVIDUAL MEMBERS
Comcast,Comcast,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Comprion GmbH,Comprion GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Comtech Telecommunications Cor,Comtech Telecommunications Corp,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Consort Digital,Consort Digital Private Limited,INDIA,ETSI,INDIVIDUAL MEMBERS
Continental Automotive,Continental Automotive Technologies GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Convida Wireless,Convida Wireless  LLC,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Cosmian,Cosmian Tech SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
CQUPT,Chongqing University of Posts and Telecommunications,CHINA,CCSA,INDIVIDUAL MEMBERS
Crosscall,Crosscall,FRANCE,ETSI,INDIVIDUAL MEMBERS
CSA,Cyber Security Agency of Singapore,SINGAPORE,ETSI,INDIVIDUAL MEMBERS
CSCN,CHINA SATELLITE NETWORK GROUP CO.  LTD.,CHINA,CCSA,INDIVIDUAL MEMBERS
CSIRO,Commonwealth Scientific and Industrial Research Organisation,AUSTRALIA,ETSI,INDIVIDUAL MEMBERS
cstconsultancy,CyberSecurity & Technology Consultancy LTD,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
CTSI,China Telecom System Integration Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
CTTC,Centre tecnologic de Telecomunicacions de Catalunya,SPAIN,ETSI,INDIVIDUAL MEMBERS
CU Digital Technology,China Unicom Digital Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
CUC,Communication University of China,CHINA,CCSA,INDIVIDUAL MEMBERS
CUG,China Unicom Global Limited,CHINA,CCSA,INDIVIDUAL MEMBERS
Cybercore,Beijinig Cybercore Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Cygnusemi,Cygnusemi,CHINA,CCSA,INDIVIDUAL MEMBERS
Czech Telecommunication Office,Czech Telecommunication Office,CZECH REPUBLIC,ETSI,INDIVIDUAL MEMBERS
DAC-SSR-UPC,D. Arquitectura de Computadores/GT Smart Sustainable Resources -Universidad Politecnica de Cataluna,SPAIN,ETSI,INDIVIDUAL MEMBERS
DanKook University,DanKook University,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
DARS TELECOM S.L.,DARS TELECOM S.L.,SPAIN,ETSI,INDIVIDUAL MEMBERS
Datang Linktester Technology,Datang Linktester Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Datang Mobile Com. Equipment,Datang Mobile Communications Equipment Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
DeepSig Inc,DeepSig Inc,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
DEKRA,DEKRA testing and Certification  S.A.U.,SPAIN,ETSI,INDIVIDUAL MEMBERS
Dell Technologies,Dell Technologies,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
DENSO CORPORATION,DENSO CORPORATION,JAPAN,ARIB,INDIVIDUAL MEMBERS
Department of Telecom,Department of Telecommunications,INDIA,TSDSI,INDIVIDUAL MEMBERS
Dept of Home Affairs,Department of Home Affairs,AUSTRALIA,ETSI,INDIVIDUAL MEMBERS
Deutsche Telekom AG,Deutsche Telekom AG,GERMANY,ETSI,INDIVIDUAL MEMBERS
DIGG,Agency for Digital Government,SWEDEN,ETSI,INDIVIDUAL MEMBERS
DISA,Defense Information Systems Agency,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Dish Network,Dish Network,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
DLR,Deutsches Zentrum für Luft- und Raumfahrt e.V.,GERMANY,ETSI,INDIVIDUAL MEMBERS
DOCOMO Beijing Labs,DOCOMO Beijing Communications Laboratories Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
DOCOMO Communications Lab.,DOCOMO Communications Laboratories Europe GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Dolby France SAS,Dolby France SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
Dolby Germany GmbH,Dolby Germany GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Dolby Sweden AB,Dolby Sweden AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Dolby Technology India Pvt Ltd,Dolby Technology India Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Douyin,Beijing Douyin Information Service Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
DP,DigitalPlatforms SpA,ITALY,ETSI,INDIVIDUAL MEMBERS
DSIT,Department for Science  Innovation and Technology,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
DTCY,Deloitte Tohmatsu Cyber LLC,JAPAN,TTC,INDIVIDUAL MEMBERS
DTS Licensing Limited,DTS Licensing Limited,IRELAND,ETSI,INDIVIDUAL MEMBERS
EA Consult Services Ltd,EA Consult Services Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
EBU,EBU - European Broadcasting Union,SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
EchoStar,EchoStar,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
ECTL,Enhanced Communications & Technologies Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
EDF Recherche et Développement,EDF,FRANCE,ETSI,INDIVIDUAL MEMBERS
EFORT,Etudes et Formations en Telecommunication,FRANCE,ETSI,INDIVIDUAL MEMBERS
Elbit Systems,Elbit Systems C4l and Cyber Ltd,ISRAEL,ETSI,INDIVIDUAL MEMBERS
Element Materials Technology,Element Materials Technology Warwick Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Elena,Elena Geo Systems Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Embotech AG,Embotech AG,SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
EMITE,EMITE Ingenieria S.L.,SPAIN,ETSI,INDIVIDUAL MEMBERS
ENENSYS,ENENSYS Technologies SA,FRANCE,ETSI,INDIVIDUAL MEMBERS
Ericsson (China),Ericsson (China) Communications  Co.Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Ericsson España S.A.,Ericsson España S.A.,SPAIN,ETSI,INDIVIDUAL MEMBERS
Ericsson France S.A.S,Ericsson France S.A.S,FRANCE,ETSI,INDIVIDUAL MEMBERS
Ericsson GmbH  Eurolab,Ericsson GmbH  Eurolab - Unternehmensbereich Forschung und Entwicklung,GERMANY,ETSI,INDIVIDUAL MEMBERS
Ericsson Hungary Ltd,Ericsson Hungary Ltd,HUNGARY,ETSI,INDIVIDUAL MEMBERS
Ericsson Inc.,Ericsson Incorporated,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Ericsson India Private Limited,Ericsson India Private Limited,INDIA,TSDSI,INDIVIDUAL MEMBERS
Ericsson Japan K.K.,Ericsson Japan K.K.,JAPAN,ARIB,INDIVIDUAL MEMBERS
Ericsson Limited,Ericsson Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Ericsson LM,Ericsson Telefonaktiebolaget LM,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Ericsson Telecomunicazioni SpA,Ericsson Telecomunicazioni SpA,ITALY,ETSI,INDIVIDUAL MEMBERS
Ericsson-LG Co.  LTD,Ericsson-LG Co.  LTD,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Erillisverkot,Suomen Erillisverkot Oy,FINLAND,ETSI,INDIVIDUAL MEMBERS
ERNET India,ERNET India,INDIA,TSDSI,INDIVIDUAL MEMBERS
ESA,ESA - European Space Agency,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
E-SPACE,E-SPACE SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
ESSEN INNOVATION,ESSEN INNOVATION COMPANY LIMITED,CHINA,CCSA,INDIVIDUAL MEMBERS
E-surfing Digital,E-surfing Digital Life Technology Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Esurfing IoT,Esurfing IoT Tech Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
ETELM,Electronique Telematique ETELM,FRANCE,ETSI,INDIVIDUAL MEMBERS
Etherstack Wireless Limited,Etherstack Wireless Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
ETRI,Electronics & Telecommunications Research Institute,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
ETS-Lindgren Europe,ETS-Lindgren Europe,FINLAND,ETSI,INDIVIDUAL MEMBERS
EURECOM,EURECOM,FRANCE,ETSI,INDIVIDUAL MEMBERS
Eurofins KCTL,Eurofins KCTL Co. Ltd,KOREA (REPUBLIC OF),ETSI,INDIVIDUAL MEMBERS
European Commission,EC - European Commission,BELGIUM,ETSI,INDIVIDUAL MEMBERS
European Patent Organisation,European Patent Organisation,GERMANY,ETSI,INDIVIDUAL MEMBERS
EUTC,European Utilities Telecom Council (EUTC),BELGIUM,ETSI,INDIVIDUAL MEMBERS
Eutelsat Group,Eutelsat S.A.,FRANCE,ETSI,INDIVIDUAL MEMBERS
EVE Compliancy Solutions,EVE Compliancy Solutions,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Everactive,Everactive,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Ewha Womans University,Ewha Womans University,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
F5,F5  Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Fabasoft AG,Fabasoft AG,AUSTRIA,ETSI,INDIVIDUAL MEMBERS
Facebook Japan G.K.,Facebook Japan G.K.,JAPAN,ARIB,INDIVIDUAL MEMBERS
Fastweb S.p.A.,Fastweb S.p.A.,ITALY,ETSI,INDIVIDUAL MEMBERS
FAU,Friedrich-Alexander-Universität Erlangen-Nürnberg,GERMANY,ETSI,INDIVIDUAL MEMBERS
FBK,Fondazione Bruno Kessler,ITALY,ETSI,INDIVIDUAL MEMBERS
FCC,Federal Communications Commission,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Fiberhome Technologies Group,Fiberhome Technologies Group,CHINA,CCSA,INDIVIDUAL MEMBERS
FirstNet,FirstNet,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
FORCE Technology,FORCE Technology,DENMARK,ETSI,INDIVIDUAL MEMBERS
Ford,Ford Motor Company,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Fraunhofer FOKUS,Fraunhofer Institute for Open Communication Systems FOKUS,GERMANY,ETSI,INDIVIDUAL MEMBERS
Fraunhofer HHI,Fraunhofer Institute for Telecommunications  Heinrich Hertz Institute,GERMANY,ETSI,INDIVIDUAL MEMBERS
Fraunhofer IIS,Fraunhofer Institut für Integrierte Schaltungen IIS,GERMANY,ETSI,INDIVIDUAL MEMBERS
Frequentis AG,Frequentis AG,AUSTRIA,ETSI,INDIVIDUAL MEMBERS
